"Part","Description","ClassID","Costing Method","Qty On Hand","Last Labor","Last Material","Last Burden","Last Subcontract","LastUnit","LastExtend","Avg. Labor","Avg. Material","Avg. Burden","Avg. Subcontract","AvgUnit","AvgExtend","Std. Labor","Std. Burden","Std. Material","Std. Subcontract","Std. Material Burden","STDUnit","StdExtended","Type"
"#4-Base-Plate",".010 304 Stainless Steel (#3 Finish)","FIN","S",0.00,0.00000,1.26000,0.00000,0.00000,1.260,0.000,0.00000,1.36000,0.00000,0.00000,1.360,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
".098 Dia BB",".098 Dia Ball Bearing, Chrome Steel
Ø2.5 mm, AISI 521000, G25 Dry Packed Ball

McMaster-Carr P/N 9292K32","RAW","S",0.00,0.00000,6.22000,0.00000,0.00000,6.220,0.000,0.00000,0.10700,0.00000,0.00000,0.107,0.000,0.00000,0.00000,0.10700,0.00000,0.02140,0.13,0.00,"P"
".1875 dowl x 875 long dowl pin","McM 98381A509                 

McMaster dowel pin 50 pcs per box @ $10.15","RAW","A",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.20300,0.00000,0.00000,0.20,0.00,"P"
".250-20 Helicoil 1xD","1185-4CN250 1/4-20 UNC 2B Helicoil 1xD Inserts

Material Certs Required","RAW","S",0.00,0.00000,0.20000,0.00000,0.00000,0.200,0.000,0.00000,0.38970,0.00000,0.00000,0.390,0.000,0.00000,0.00000,0.38970,0.00000,0.01840,0.41,0.00,"P"
".3125 x 8 A36 Steel",".3125 x 8 A36 Steel","RAW","S",1.58,0.00000,49.67000,0.00000,0.00000,49.670,0.000,0.00000,49.67000,0.00000,0.00000,49.670,0.000,0.00000,0.00000,49.67000,0.00000,9.93400,59.60,94.17,"P"
".375 x 9.50 x 14.50  110 copper saw cut plate only","CUP .375 X 9.5","FIN","A",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"P"
".625 Diameter Alloy 544 FH Phosphor Bronze",".625 Diameter Alloy 544 FH Phosphor Bronze
Per QQ-B-750","RAW","S",12.00,0.00000,9.75000,0.00000,0.00000,9.750,0.000,0.00000,9.75000,0.00000,0.00000,9.750,0.000,0.00000,0.00000,9.75000,0.00000,1.95000,11.70,140.40,"P"
".625"" Round Copper/Nickel Alloy","C71500 Temper 060 per ASTM B151","RAW","S",0.00,0.00000,16.58330,0.00000,0.00000,16.583,0.000,0.00000,16.58330,0.00000,0.00000,16.583,0.000,0.00000,0.00000,16.58330,0.00000,3.31670,19.90,0.00,"P"
".75"" Round Copper/Nickel","Per C71500, ASTM B151","RAW","S",0.00,0.00000,29.82330,0.00000,0.00000,29.823,0.000,0.00000,28.82270,0.00000,0.00000,28.823,0.000,0.00000,0.00000,27.82670,0.00000,5.56530,33.39,0.00,"P"
".750 x 2.25 Steel 1018",".750 x 2.25 Steel 1018","RAW","S",0.00,0.00000,9.69630,0.00000,0.00000,9.696,0.000,0.00000,9.69630,0.00000,0.00000,9.696,0.000,0.00000,0.00000,9.69630,0.00000,1.93930,11.64,0.00,"P"
".75Ø X144 303SS","SSR.75","RAW","A",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"P"
"00010012","1.0""Ø X 166"" 4140 GBQ BBL STEEL ROD","RAW","A",0.00,0.00000,34.17520,0.00000,0.00000,34.175,0.000,0.00000,34.17520,0.00000,0.00000,34.175,0.000,0.00000,0.00000,34.17520,0.00000,0.00000,34.18,0.00,"P"
"00027-003-0N","KEY","FIN","A",0.00,0.00000,0.00000,4.59000,0.00000,4.590,0.000,0.00000,0.00000,4.59000,0.00000,4.590,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"001-1148","AXIAL SUPPORT PLATE HDS75 ACTUATOR","FIN","A",7.00,0.00000,0.00000,35.76000,0.00000,35.760,0.000,0.00000,0.00000,35.76000,0.00000,35.760,250.320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"001-3500-093","ROTATING HNDL TOP AL","RAW","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,33.64000,74.10300,56.72000,0.00000,0.00000,164.46,0.00,"P"
"001-3500-093","ROTATING HNDL TOP AL","RAW","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,33.64000,74.10300,56.72000,0.00000,0.00000,164.46,0.00,"P"
"00304-136-00","PLATE","FIN","A",0.00,0.00000,0.00000,9.72000,0.00000,9.720,0.000,0.00000,0.00000,9.72000,0.00000,9.720,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
