"Job","PO","Name","Line","Description","Part Num","Supplier Qty","Promise Date","Due Date","UOM","Supplier UOM","Buyer ID","CommentText"
"",705782,"MSC Industrial Supply Co.",1,"Square End Mill: 1/8″ Dia, 7/8″ LOC, 3 Flute, Solid Carbide - 2-1/2″ OAL, 1/8″ Shank Dia, 30 deg Helix, Bright/Uncoated Finish, Single End, Series Miniature End Mills - Square - Long Flute","16004038",4.00,,1/13/2025 12:00:00 AM,"EA","EA","agarcia","Richard King"
"",706104,"Weco Manufacturing",1,"CONTAINER BODY","TS1540",10.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",30.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",30.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1565-01",10.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",20.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1570",10.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",30.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",30.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706104,"Weco Manufacturing",9,"TS1540 Container Body","Rework RMA 2658",2.00,,12/19/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",1,"CONTAINER BODY","TS1540",10.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",30.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",30.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1565-01",10.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",20.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1570",10.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",30.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706105,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",30.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706106,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,7/15/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706107,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,8/12/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706108,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,9/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706110,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706110,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,11/18/2025 12:00:00 AM,"EA","EA","agarcia",""
