"Name","Order","Line","Rel","Selling Requested Qty","Job Number","Part","Part Description","Unit Price","Total Rel Dollar","Sales Reps","Need By","Ship By","Order Date","PO"
"Weco Manufacturing",43307,6,1,40.00,"043307-6-1","DT11738","Lug, Wire Rope Lifting ( Cylinder Side)",45.68000,1827.20,"ESTIM",2/27/2026 12:00:00 AM,2/27/2026 12:00:00 AM,12/9/2025 12:00:00 AM,"105034"
"Weco Manufacturing",43307,7,1,40.00,"043307-7-1","DT11755","Block, Pulley Mounting",60.66000,2426.40,"ESTIM",2/27/2026 12:00:00 AM,2/27/2026 12:00:00 AM,12/9/2025 12:00:00 AM,"105034"
"Weco Manufacturing",43308,2,1,40.00,"043308-2-1","DT16567","HOUSING, BEARING",59.42000,2376.80,"ESTIM",2/27/2026 12:00:00 AM,2/27/2026 12:00:00 AM,12/9/2025 12:00:00 AM,"105043"
"Weco Manufacturing",43339,1,1,100.00,"043339-1-1","DT11726","BLOCK, CAM ROLLER MOUNTING",32.70000,3270.00,"ESTIM",4/9/2026 12:00:00 AM,4/7/2026 12:00:00 AM,1/6/2026 12:00:00 AM,"105265"
"Weco Manufacturing",43340,2,1,40.00,"043340-2-1","DT11738","Lug, Wire Rope Lifting ( Cylinder Side)",45.68000,1827.20,"ESTIM",3/11/2026 12:00:00 AM,3/9/2026 12:00:00 AM,1/6/2026 12:00:00 AM,"105266"
"Weco Manufacturing",43340,3,1,40.00,"043340-3-1","DT11737","Lug, Wire Rope Lifting",63.94000,2557.60,"ESTIM",3/16/2026 12:00:00 AM,3/13/2026 12:00:00 AM,1/6/2026 12:00:00 AM,"105266"
"Weco Manufacturing",43360,2,2,40.00,"043360-2-1","DT17519-unwelded","PLATE, CONVEYOR END- UNWELDED",55.56000,2222.40,"ESTIM",3/17/2026 12:00:00 AM,3/17/2026 12:00:00 AM,1/13/2026 12:00:00 AM,"105327"
"Weco Manufacturing",43360,2,3,340.00,"043360-2-1","DT17519-unwelded","PLATE, CONVEYOR END- UNWELDED",55.56000,18890.40,"ESTIM",3/26/2026 12:00:00 AM,3/26/2026 12:00:00 AM,1/13/2026 12:00:00 AM,"105327"
"Weco Manufacturing",43361,1,1,120.00,"043361-1-1","DT31505","FLANGE",47.62000,5714.40,"ESTIM",3/4/2026 12:00:00 AM,3/4/2026 12:00:00 AM,1/13/2026 12:00:00 AM,"105337"
"Weco Manufacturing",43362,1,1,120.00,"043362-1-1","DT16567","HOUSING, BEARING",59.42000,7130.40,"ESTIM",3/12/2026 12:00:00 AM,3/12/2026 12:00:00 AM,1/13/2026 12:00:00 AM,"105335"
